area_type,location,total_sqft,bath,BHK,balcony,PRICE rs
Super built-up  Area,Bannerghatta Road,1012,2,2,1,"₹ 4,500,000.00"
Super built-up  Area,Ganga Nagar,998,2,2,2,"₹ 6,500,000.00"
Plot  Area,Doddaballapur,2400,3,3,1,"₹ 25,000,000.00"
Super built-up  Area,7th Phase JP Nagar,1130,2,2,2,"₹ 8,500,000.00"
Super built-up  Area,Koramangala,1744,4,3,1,"₹ 21,000,000.00"
Super built-up  Area,Rajaji Nagar,2733,5,4,2,"₹ 25,900,000.00"
Super built-up  Area,Karuna Nagar,1354,2,3,1,"₹ 9,800,000.00"
Plot  Area,Maruthi Nagar,3300,9,10,0,"₹ 45,000,000.00"
Super built-up  Area,Brookefield,1389,2,2,2,"₹ 9,400,000.00"
Plot  Area,Sarjapur,2970,3,4,3,"₹ 13,000,000.00"
Super built-up  Area,Cooke Town,2560,4,3,0,"₹ 31,000,000.00"
Super built-up  Area,Lakshminarayana Pura,1172,2,2,2,"₹ 7,500,000.00"
Plot  Area,5th Block Jayanagar,500,2,3,1,"₹ 7,500,000.00"
Super built-up  Area,Kaggadasapura,1495,3,3,2,"₹ 6,000,000.00"
Super built-up  Area,Varthur,1738,2,2,1,"₹ 5,735,000.00"
Super built-up  Area,Dodda Nekkundi,1315,2,2,2,"₹ 5,000,000.00"
Super built-up  Area,Marathahalli,1270,2,2,3,"₹ 7,300,000.00"
Super built-up  Area,Electronic City Phase II,1160,2,2,1,"₹ 5,220,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1450,2,3,1,"₹ 6,700,000.00"
Built-up  Area,Rayasandra,470,1,1,1,"₹ 2,100,000.00"
Built-up  Area,2nd Phase JP Nagar,1040,2,2,2,"₹ 7,800,000.00"
Super built-up  Area,Sarjapur,1205,2,2,2,"₹ 2,900,000.00"
Super built-up  Area,KSRTC Layout,1215,2,3,3,"₹ 5,000,000.00"
Super built-up  Area,Whitefield,1135,2,2,2,"₹ 5,800,000.00"
Super built-up  Area,8th Phase JP Nagar,1224,2,3,2,"₹ 4,895,000.00"
Built-up  Area,Budigere,664,1,1,1,"₹ 3,400,000.00"
Super built-up  Area,Electronic City,1160,2,3,2,"₹ 4,200,000.00"
Plot  Area,Babusapalaya,1200,2,2,0,"₹ 10,500,000.00"
Built-up  Area,Bommasandra Industrial Area,1220,2,3,1,"₹ 3,520,000.00"
Super built-up  Area,Bharathi Nagar,1328,2,2,2,"₹ 6,900,000.00"
Super built-up  Area,BSM Extension,975,2,2,2,"₹ 4,500,000.00"
Built-up  Area,Ambedkar Colony,1907,2,3,1,"₹ 20,000,000.00"
Built-up  Area,Malleshwaram,900,2,2,1,"₹ 7,200,000.00"
Super built-up  Area,Banashankari 6th Stage,1330,2,2,2,"₹ 8,000,000.00"
Super built-up  Area,Rajiv Nagar,2330,5,4,1,"₹ 17,500,000.00"
Built-up  Area,Munnekollal,1222,3,3,2,"₹ 9,500,000.00"
Plot  Area,Dodsworth Layout,4446,3,3,2,"₹ 41,000,000.00"
Super built-up  Area,Sarjapur  Road,2100,3,3,1,"₹ 13,500,000.00"
Super built-up  Area,Sarjapur  Road,3335,4,4,3,"₹ 29,000,000.00"
Built-up  Area,Whitefield,3150,3,3,1,"₹ 29,000,000.00"
Plot  Area,Jnana Ganga Nagar,1320,2,3,1,"₹ 9,500,000.00"
Plot  Area,9th Phase JP Nagar,820,7,7,3,"₹ 14,000,000.00"
Plot  Area,Shetty Halli,8000,5,5,3,"₹ 55,000,000.00"
Plot  Area,Hennur Road,2400,5,4,3,"₹ 50,000,000.00"
Super built-up  Area,Uttarahalli,1330,2,3,2,"₹ 4,655,000.00"
Plot  Area,Hosur Road,2000,4,4,1,"₹ 13,000,000.00"
Super built-up  Area,Electronic City Phase II,1244,2,2,1,"₹ 5,500,000.00"
Super built-up  Area,Konena Agrahara,1000,2,2,1,"₹ 5,000,000.00"
Super built-up  Area,Gunjur Palya,1400,3,3,2,"₹ 4,500,000.00"
Super built-up  Area,Vignana Nagar,1000,2,2,2,"₹ 3,500,000.00"
Plot  Area,Rajaji Nagar,1056,1,2,0,"₹ 25,000,000.00"
Super built-up  Area,Uttarahalli,1250,2,3,2,"₹ 5,000,000.00"
Super built-up  Area,Jeevan bima nagar,1225,2,2,2,"₹ 4,800,000.00"
Super built-up  Area,Hebbal,2790,5,4,3,"₹ 19,800,000.00"
Super built-up  Area,Indira Nagar,2800,4,4,3,"₹ 36,500,000.00"
Super built-up  Area,Seegehalli,1683,3,3,3,"₹ 8,000,000.00"
Built-up  Area,Yelahanka,1250,2,2,2,"₹ 5,400,000.00"
Super built-up  Area,Hennur Road,1305,2,3,1,"₹ 11,000,000.00"
Plot  Area,Sarjapur  Road,3009,3,3,1,"₹ 33,100,000.00"
Super built-up  Area,Kaggalipura,1150,2,3,1,"₹ 5,750,000.00"
Built-up  Area,Kaggadasapura,1654,3,3,3,"₹ 7,000,000.00"
Carpet  Area,Munivenkatppa Layout,4500,3,4,0,"₹ 22,500,000.00"
Super built-up  Area,Kadugodi,1890,4,3,3,"₹ 12,500,000.00"
Super built-up  Area,Kasavanhalli,1069,2,2,2,"₹ 5,500,000.00"
Super built-up  Area,Chandapura,750,1,2,1,"₹ 1,850,000.00"
Plot  Area,Banashankari,675,4,4,0,"₹ 14,000,000.00"
Built-up  Area,Hormavu,2400,3,3,1,"₹ 17,700,000.00"
Plot  Area,2nd Stage Nagarbhavi,1200,4,5,2,"₹ 24,000,000.00"
Plot  Area,Koramangala,1410,2,4,0,"₹ 28,000,000.00"
Super built-up  Area,7th Phase JP Nagar,1680,3,3,3,"₹ 13,000,000.00"
Super built-up  Area,Sadanand Nagar,3500,4,3,2,"₹ 50,000,000.00"
Super built-up  Area,Sarjapur  Road,1700,3,3,2,"₹ 9,350,000.00"
Plot  Area,Brindavan Layout,2200,2,4,0,"₹ 15,000,000.00"
Super built-up  Area,Thanisandra,1595,3,3,1,"₹ 10,500,000.00"
Super built-up  Area,Hennur Road,1480,3,3,0,"₹ 10,000,000.00"
Plot  Area,Bethel Nagar,1092,3,3,1,"₹ 9,500,000.00"
Super built-up  Area,Koramangala,1866,4,3,2,"₹ 24,500,000.00"
Super built-up  Area,Hebbal,3895,3,3,2,"₹ 39,000,000.00"
Super built-up  Area,Banashankari,1683,3,3,2,"₹ 11,500,000.00"
Super built-up  Area,Dasanapura,545,2,2,1,"₹ 2,234,000.00"
Super built-up  Area,Banaswadi,1340,2,2,2,"₹ 7,300,000.00"
Built-up  Area,"Judicial Layout, Kanakapura Road, ",1100,3,3,2,"₹ 5,300,000.00"
Plot  Area,Akshaya Nagar,2000,1,1,0,"₹ 20,000,000.00"
Super built-up  Area,Whitefield,1185,2,2,2,"₹ 5,600,000.00"
Super built-up  Area,Chandapura,1025,2,2,2,"₹ 2,768,000.00"
Super built-up  Area,Haralur Road,1730,3,3,1,"₹ 9,500,000.00"
Super built-up  Area,Hennur Road,1450,3,3,1,"₹ 8,860,000.00"
Super built-up  Area,Sarjapur  Road,1862,4,3,1,"₹ 11,000,000.00"
Plot  Area,Sarjapur  Road,4000,5,4,1,"₹ 57,800,000.00"
Built-up  Area,Old Madras Road,2430,5,3,2,"₹ 18,000,000.00"
Super built-up  Area,Chambenahalli,1170,2,2,3,"₹ 5,000,000.00"
Super built-up  Area,B Narayanapura,1075,2,2,2,"₹ 5,000,000.00"
Super built-up  Area,Kodichikkanahalli,1060,2,2,1,"₹ 3,400,000.00"
Super built-up  Area,Sarjapur,850,2,2,2,"₹ 3,200,000.00"
Super built-up  Area,P&T Layout,935,2,2,1,"₹ 4,590,000.00"
Built-up  Area,Gollarapalya Hosahalli,1905,3,4,0,"₹ 8,600,000.00"
Built-up  Area,8th Block Jayanagar,2000,6,6,3,"₹ 30,000,000.00"
Super built-up  Area,Uttarahalli,1125,2,2,1,"₹ 4,700,000.00"
Plot  Area,9th Phase JP Nagar,600,6,6,2,"₹ 7,500,000.00"
Built-up  Area,Chikkabanavar,1500,4,4,1,"₹ 10,500,000.00"
Built-up  Area,Bannerghatta Road,1725,3,3,3,"₹ 8,500,000.00"
Super built-up  Area,Dodda Banaswadi,1120,2,2,3,"₹ 3,600,000.00"
Super built-up  Area,Brookefield,1750,2,3,2,"₹ 7,500,000.00"
Super built-up  Area,7th Phase JP Nagar,2000,3,3,2,"₹ 7,700,000.00"
Built-up  Area,Koramangala,1745,3,3,3,"₹ 9,800,000.00"
Plot  Area,Bagalakunte,750,3,5,1,"₹ 9,500,000.00"
Super built-up  Area,Uttarahalli,1270,2,3,2,"₹ 5,525,000.00"
Super built-up  Area,Iblur Village,5384,5,5,3,"₹ 42,000,000.00"
Super built-up  Area,Sahakara Nagar,1180,2,2,2,"₹ 7,200,000.00"
Built-up  Area,Shanti Nagar,1130,2,2,1,"₹ 7,500,000.00"
Super built-up  Area,Old Airport Road,2774,4,4,3,"₹ 19,700,000.00"
Super built-up  Area,Ardendale,1723,3,3,2,"₹ 9,500,000.00"
Built-up  Area,Mysore Road,1175,2,2,2,"₹ 7,050,000.00"
Super built-up  Area,Ambalipura,1607,2,3,2,"₹ 11,200,000.00"
Built-up  Area,Varanasi,1334,2,2,1,"₹ 6,200,000.00"
Built-up  Area,Vishwapriya Layout,2800,5,5,3,"₹ 13,000,000.00"
Super built-up  Area,Bellandur,1138,3,3,2,"₹ 12,800,000.00"
Super built-up  Area,Bannerghatta,1113,2,2,1,"₹ 7,000,000.00"
Built-up  Area,9th Phase JP Nagar,1300,2,3,2,"₹ 5,800,000.00"
Plot  Area,Judicial Layout,2400,4,4,0,"₹ 35,000,000.00"
Built-up  Area,Sahakara Nagar,1200,2,2,2,"₹ 6,000,000.00"
Super built-up  Area,cooketown,1900,3,3,2,"₹ 19,000,000.00"
Super built-up  Area,Jakkur,5150,4,4,3,"₹ 55,900,000.00"
Plot  Area,2nd Stage Nagarbhavi,1200,5,5,0,"₹ 29,000,000.00"
Super built-up  Area,Whitefield,2956,5,4,0,"₹ 23,400,000.00"
Plot  Area,Begur Road,1100,5,5,1,"₹ 16,500,000.00"
Super built-up  Area,Panathur,1398,2,2,1,"₹ 9,700,000.00"
Plot  Area,Margondanahalli,1152,1,2,0,"₹ 6,600,000.00"
Plot  Area,Rajarajeshwarinagar,1200,5,4,0,"₹ 32,500,000.00"
Super built-up  Area,Nagavara,1110,2,2,2,"₹ 4,495,000.00"
Built-up  Area, Devarachikkanahalli,1116,2,2,1,"₹ 4,700,000.00"
Super built-up  Area,Babusapalaya,1061,2,2,1,"₹ 3,384,000.00"
Super built-up  Area,Malleshwaram,620,1,1,1,"₹ 8,680,000.00"
Super built-up  Area,7th Phase JP Nagar,1300,2,3,2,"₹ 5,200,000.00"
Built-up  Area,Yelahanka,1270,2,2,2,"₹ 5,700,000.00"
Super built-up  Area,Peenya,966,2,2,2,"₹ 5,000,000.00"
Plot  Area,AMS Layout,1200,4,4,1,"₹ 11,000,000.00"
Plot  Area,Kodigehalli,1320,4,4,3,"₹ 24,900,000.00"
Super built-up  Area,Iblur Village,3596,5,4,1,"₹ 29,700,000.00"
Super built-up  Area,Kathriguppe IV Phase,1630,3,3,2,"₹ 13,100,000.00"
Super built-up  Area,Kodipalya,600,6,5,3,"₹ 7,200,000.00"
Plot  Area,Ramchandrapuram,600,4,4,2,"₹ 6,000,000.00"
Super built-up  Area,Amruthahalli,1202,2,2,1,"₹ 6,500,000.00"
Plot  Area,Pampa Extension,1200,4,4,2,"₹ 25,000,000.00"
Built-up  Area,Jakkur,1300,2,2,2,"₹ 8,000,000.00"
Plot  Area,Uttarahalli,1200,6,6,2,"₹ 33,000,000.00"
Super built-up  Area,Electronic City,1360,2,3,1,"₹ 7,000,000.00"
Super built-up  Area,Hennur Road,1155,2,2,1,"₹ 6,918,000.00"
Super built-up  Area,Hosakerehalli,2378,3,3,1,"₹ 31,000,000.00"
Super built-up  Area,Hulimavu,1011,2,2,2,"₹ 3,800,000.00"
Built-up  Area,HSR Layout,1203,2,2,2,"₹ 7,200,000.00"
Super built-up  Area,Hebbal,1645,3,3,2,"₹ 11,300,000.00"
Super built-up  Area,Horamavu Agara,1364,2,3,3,"₹ 5,000,000.00"
Plot  Area,Anekal,1200,1,2,1,"₹ 3,600,000.00"
Built-up  Area,KR Layout,1050,2,1,2,"₹ 4,100,000.00"
Super built-up  Area,Kothanur,1365,3,3,3,"₹ 6,600,000.00"
Super built-up  Area,Jigani,1252,3,3,3,"₹ 7,000,000.00"
Super built-up  Area,Jigani,1221,3,3,2,"₹ 6,500,000.00"
Built-up  Area,Panathur,1065,2,2,1,"₹ 5,800,000.00"
Super built-up  Area,Uttarahalli,1270,2,3,1,"₹ 5,525,000.00"
Built-up  Area,Sahakara Nagar,1032,2,2,2,"₹ 4,500,000.00"
Super built-up  Area,Frazer Town,2900,4,4,2,"₹ 32,500,000.00"
Super built-up  Area,Sector 2 HSR Layout,1515,2,3,3,"₹ 6,900,000.00"
Super built-up  Area,Akshaya Vana,1427,2,2,2,"₹ 5,200,000.00"
Super built-up  Area,Magadi Road,940,2,2,2,"₹ 5,000,000.00"
Plot  Area,Medahalli,800,5,5,1,"₹ 9,500,000.00"
Super built-up  Area,Bannerghatta Road,1460,2,3,2,"₹ 8,000,000.00"
Super built-up  Area,Sarjapur  Road,2275,4,3,2,"₹ 17,500,000.00"
Super built-up  Area,9th Phase JP Nagar,1522,3,3,2,"₹ 9,000,000.00"
Plot  Area,Basaveshwara Nagar Yelahanka,3210,4,3,2,"₹ 38,000,000.00"
Super built-up  Area,Thanisandra,1185,2,2,2,"₹ 4,267,000.00"
Super built-up  Area,1Hoysalanagar,5425,13,13,0,"₹ 27,500,000.00"
Built-up  Area,Banashankari,1800,3,3,2,"₹ 12,500,000.00"
Super built-up  Area,Electronics City Phase 1,940,2,2,1,"₹ 4,400,000.00"
Plot  Area,Andrahalli,1200,4,4,2,"₹ 13,500,000.00"
Super built-up  Area,Marathahalli,1530,3,3,2,"₹ 7,100,000.00"
Built-up  Area,Gollahalli,1050,2,2,1,"₹ 4,800,000.00"
Super built-up  Area,Subramanyapura,929,2,2,2,"₹ 4,900,000.00"
Built-up  Area,Banjara Layout,3750,5,4,3,"₹ 14,500,000.00"
Super built-up  Area,Whitefield,1530,3,3,3,"₹ 7,500,000.00"
Plot  Area,PC Palaya,900,2,2,1,"₹ 4,800,000.00"
Super built-up  Area,Vasanthapura,978,2,2,1,"₹ 3,422,000.00"
Built-up  Area,Sathya Sai Layout,4041,4,4,2,"₹ 34,500,000.00"
Super built-up  Area,Ambalipura,770,1,1,2,"₹ 4,382,000.00"
Built-up  Area,Kaval Byrasandra,1066,2,2,3,"₹ 5,500,000.00"
Super built-up  Area,Electronic City,635,1,1,0,"₹ 2,800,000.00"
Super built-up  Area,Whitefield,1015,2,2,1,"₹ 4,500,000.00"
Built-up  Area,Hebbal,1175,2,2,0,"₹ 5,405,000.00"
Plot  Area,Chikkabanavar,1200,4,4,2,"₹ 13,000,000.00"
Super built-up  Area,Vidyaranyapura,1188,2,2,1,"₹ 5,000,000.00"
Plot  Area,Indira Nagar,2400,5,5,2,"₹ 70,000,000.00"
Super built-up  Area,Soppahalli,620,1,1,1,"₹ 2,500,000.00"
Built-up  Area,Ejipura,1210,2,2,0,"₹ 7,500,000.00"
Plot  Area,Attibele,1000,3,3,1,"₹ 9,000,000.00"
Super built-up  Area,Rajaji Nagar,1500,2,3,0,"₹ 9,900,000.00"
Plot  Area,Electronic City,1800,3,4,2,"₹ 19,000,000.00"
Super built-up  Area,Thanisandra,1185,2,2,2,"₹ 4,366,000.00"
Built-up  Area,Basavangudi,1600,3,3,3,"₹ 13,000,000.00"
Super built-up  Area,Gottigere,1100,2,2,1,"₹ 2,800,000.00"
Super built-up  Area,Yelahanka,1300,2,2,2,"₹ 6,923,000.00"
Super built-up  Area,Kasavanhalli,1100,2,2,1,"₹ 6,800,000.00"
Super built-up  Area,Ambalipura,860,2,2,1,"₹ 2,893,000.00"
Super built-up  Area,Panathur,1007,2,2,1,"₹ 6,400,000.00"
Super built-up  Area,Akshaya Nagar,1100,2,2,2,"₹ 4,800,000.00"
Super built-up  Area,Whitefield,1187,2,2,1,"₹ 3,800,000.00"
Super built-up  Area,R.T. Nagar,1150,2,2,2,"₹ 7,200,000.00"
Super built-up  Area,Nagavara,2400,3,3,2,"₹ 25,200,000.00"
Super built-up  Area,Aavalahalli,1180,2,2,3,"₹ 4,194,000.00"
Super built-up  Area,Budigere,1820,3,3,2,"₹ 8,520,000.00"
Plot  Area,Hennur Bande,1200,6,6,3,"₹ 18,000,000.00"
Plot  Area,Sector 1 HSR Layout,2400,6,3,2,"₹ 77,500,000.00"
Super built-up  Area,KR Puram,3628,4,4,1,"₹ 24,600,000.00"
Built-up  Area,Kodbisanhalli,1430,3,3,2,"₹ 7,000,000.00"
Super built-up  Area,Kanakpura Road,700,2,2,1,"₹ 4,000,000.00"
Plot  Area,Kattigenahalli,1200,1,2,0,"₹ 7,000,000.00"
Super built-up  Area,Old Madras Road,1165,2,2,1,"₹ 4,077,000.00"
Super built-up  Area,Jalahalli,1569,3,3,2,"₹ 11,800,000.00"
Super built-up  Area,Basaveshwara Nagar Yelahanka,1950,4,3,3,"₹ 9,500,000.00"
Plot  Area,Jayanti Nagar,1200,3,2,1,"₹ 7,000,000.00"
Super built-up  Area,Yelahanka New Town,2437,3,3,2,"₹ 12,500,000.00"
Super built-up  Area,Marathahalli,950,2,2,2,"₹ 4,670,000.00"
Built-up  Area,Bellandur,1685,3,3,3,"₹ 11,500,000.00"
Super built-up  Area,Green Glen Layout,3270,4,4,3,"₹ 20,500,000.00"
Super built-up  Area,Sarjapur  Road,1314,2,2,2,"₹ 11,000,000.00"
Super built-up  Area,New Gurappana Palya,1250,3,3,2,"₹ 4,000,000.00"
Built-up  Area,Virudhu Nagar,1130,2,2,2,"₹ 6,800,000.00"
Plot  Area,Doddakannelli,1200,9,6,3,"₹ 12,200,000.00"
Plot  Area,Sultan Palaya,890,5,6,2,"₹ 16,000,000.00"
Plot  Area,kamanahalli main road,857,3,3,2,"₹ 9,500,000.00"
Super built-up  Area,Whitefield,2247,3,3,0,"₹ 14,500,000.00"
Super built-up  Area,Marathahalli,1550,3,3,2,"₹ 8,500,000.00"
Super built-up  Area,Hoodi,1715,2,3,2,"₹ 10,000,000.00"
Super built-up  Area,Hennur Road,1053,2,2,1,"₹ 5,300,000.00"
Plot  Area,Begur Road,1200,3,3,0,"₹ 5,000,000.00"
Plot  Area,HBR Layout,1800,2,3,1,"₹ 23,000,000.00"
Built-up  Area,Chikkabanavar,2400,4,5,0,"₹ 9,700,000.00"
Super built-up  Area,Kodbisanhalli,1245,1,2,3,"₹ 6,000,000.00"
Super built-up  Area,Koramangala,1320,2,2,1,"₹ 16,000,000.00"
Plot  Area,Whitefield,3940,5,4,3,"₹ 26,500,000.00"
Built-up  Area,Thanisandra,1241,2,3,1,"₹ 6,500,000.00"
Built-up  Area,7th Phase JP Nagar,2980,4,3,2,"₹ 26,000,000.00"
Plot  Area,7th Block Koramangala,600,5,6,3,"₹ 13,000,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1090,2,2,2,"₹ 5,700,000.00"
Super built-up  Area,Byrasandra,1390,2,3,1,"₹ 5,000,000.00"
Plot  Area,Sampangi Rama Nagar,600,4,8,3,"₹ 17,500,000.00"
Super built-up  Area,Jakkur Plantation,2750,5,3,2,"₹ 27,500,000.00"
Super built-up  Area,Kanakpura Road,1100,2,3,1,"₹ 5,297,000.00"
Built-up  Area,Koramangala,1350,2,2,2,"₹ 10,300,000.00"
Built-up  Area,Prakash Nagar,800,2,2,2,"₹ 5,500,000.00"
Super built-up  Area,Sarjapur  Road,1787,3,3,2,"₹ 11,600,000.00"
Built-up  Area,BTM Layout,2400,3,3,2,"₹ 22,000,000.00"
Super built-up  Area,Haralur Road,3700,4,4,2,"₹ 32,500,000.00"
Super built-up  Area,Sarjapur  Road,1691,3,3,2,"₹ 9,301,000.00"
Super built-up  Area,Bhoganhalli,2119,4,4,3,"₹ 11,100,000.00"
Plot  Area,Chikka Tirupathi,2325,3,3,0,"₹ 9,500,000.00"
Plot  Area,Thyagaraja Nagar,570,5,5,0,"₹ 8,000,000.00"
Super built-up  Area,Akshaya Nagar,1896,3,3,2,"₹ 10,200,000.00"
Super built-up  Area,Banashankari Stage V,1540,3,3,2,"₹ 4,851,000.00"
Super built-up  Area,Cambridge Layout,1244,2,2,2,"₹ 9,500,000.00"
Super built-up  Area,Hormavu,1365,2,3,2,"₹ 6,500,000.00"
Super built-up  Area,Thanisandra,580,1,1,1,"₹ 2,750,000.00"
Super built-up  Area,Hebbal,1355,3,3,2,"₹ 8,387,000.00"
Plot  Area,Bharat Nagar,1500,4,3,2,"₹ 18,000,000.00"
Super built-up  Area,8th Phase JP Nagar,1513,2,2,3,"₹ 6,200,000.00"
Super built-up  Area,Banashankari,1175,2,2,1,"₹ 4,113,000.00"
Super built-up  Area,Thanisandra,2087,4,3,2,"₹ 13,900,000.00"
Super built-up  Area,Talaghattapura,2273,3,3,2,"₹ 14,500,000.00"
Super built-up  Area,Thanisandra,2050,3,3,2,"₹ 15,000,000.00"
Built-up  Area,Garebhavipalya,1200,2,2,1,"₹ 7,500,000.00"
Super built-up  Area,Whitefield,1190,2,2,3,"₹ 5,900,000.00"
Super built-up  Area,Kodigehalli,600,3,4,2,"₹ 8,500,000.00"
Super built-up  Area,Marathahalli,1019,2,2,2,"₹ 4,986,000.00"
Super built-up  Area,Thigalarapalya,1830,3,3,2,"₹ 13,300,000.00"
Plot  Area,Channasandra,4278,7,7,1,"₹ 29,900,000.00"
Super built-up  Area,Sarjapur  Road,1028,2,2,1,"₹ 5,600,000.00"
Built-up  Area,Old Madras Road,1300,2,2,2,"₹ 10,000,000.00"
Super built-up  Area,Whitefield,1160,2,2,1,"₹ 6,700,000.00"
Super built-up  Area,Mahadevpura,1505,3,3,2,"₹ 7,800,000.00"
Super built-up  Area,Kogilu,1250,2,2,1,"₹ 5,555,000.00"
Plot  Area,Ramchandrapuram,400,2,1,1,"₹ 5,000,000.00"
Super built-up  Area,Sarjapur,1175,2,2,1,"₹ 4,168,000.00"
Super built-up  Area,Janatha Colony,1100,2,2,2,"₹ 5,760,000.00"
Super built-up  Area,Vishwanatha Nagenahalli,2159,3,3,2,"₹ 12,000,000.00"
Super built-up  Area,Devanahalli,1230,2,2,1,"₹ 5,645,000.00"
Plot  Area,Gkvk Layout,1200,4,3,2,"₹ 18,000,000.00"
Built-up  Area,Channasandra Layout,3100,6,5,1,"₹ 16,500,000.00"
Built-up  Area,Hegganahalli,1200,1,1,0,"₹ 4,800,000.00"
Super built-up  Area,Dodsworth Layout,1340,2,2,1,"₹ 7,100,000.00"
Super built-up  Area,Banashankari,1750,2,3,2,"₹ 8,900,000.00"
Super built-up  Area,Banashankari Stage II,1400,2,2,1,"₹ 10,000,000.00"
Built-up  Area,Nagarbhavi,1350,3,3,0,"₹ 6,000,000.00"
Super built-up  Area,RMV Extension,1675,3,3,3,"₹ 6,200,000.00"
Super built-up  Area,Thanisandra,1340,2,2,1,"₹ 6,633,000.00"
Built-up  Area,Malleshwaram,600,1,2,0,"₹ 6,800,000.00"
Super built-up  Area,Hulimavu,1276,2,2,2,"₹ 7,600,000.00"
Super built-up  Area,Ramagondanahalli,1738,2,3,3,"₹ 7,600,000.00"
Super built-up  Area,"Hoodi Circle, ",1190,2,2,2,"₹ 5,990,000.00"
Super built-up  Area,Electronic City,1128,2,2,1,"₹ 6,545,000.00"
Super built-up  Area,Veersandra,1250,2,2,1,"₹ 5,500,000.00"
Built-up  Area,ITI Layout,1450,2,2,2,"₹ 9,000,000.00"
Super built-up  Area,Kudlu,1084,2,2,1,"₹ 5,300,000.00"
Built-up  Area,Kaggadasapura,2150,4,4,2,"₹ 9,000,000.00"
Built-up  Area,Koramangala,6000,4,4,0,"₹ 62,500,000.00"
Plot  Area,Nagarbhavi,600,3,4,0,"₹ 7,700,000.00"
Super built-up  Area,Hosur Road,1250,2,2,2,"₹ 6,500,000.00"
Plot  Area,Seegehalli,2400,4,3,1,"₹ 24,000,000.00"
Super built-up  Area,Begur,1304,3,3,0,"₹ 6,500,000.00"
Super built-up  Area,Rajaji Nagar,1640,3,3,2,"₹ 26,800,000.00"
Built-up  Area,7th Phase JP Nagar,980,2,2,1,"₹ 7,744,000.00"
Super built-up  Area,Ramanashree Enclave,1275,2,2,2,"₹ 4,950,000.00"
Plot  Area,"Yelahanka,MVIT college",10030,1,1,1,"₹ 15,000,000.00"
Plot  Area,Banjara Layout,2500,4,3,0,"₹ 14,000,000.00"
Built-up  Area,Bidadi,3600,4,4,0,"₹ 22,500,000.00"
Plot  Area,Anekal,2400,4,3,0,"₹ 9,500,000.00"
Super built-up  Area,Chikku Lakshmaiah Layout,2300,3,3,2,"₹ 28,000,000.00"
Super built-up  Area,Kanakpura Road,1450,2,3,2,"₹ 7,018,000.00"
Super built-up  Area,Electronic City,890,2,2,1,"₹ 4,000,000.00"
Super built-up  Area,Bannerghatta Road,1340,2,2,3,"₹ 8,500,000.00"
Super built-up  Area,Vidyaranyapura,1100,2,3,1,"₹ 7,500,000.00"
Super built-up  Area,Kengeri,750,2,2,1,"₹ 4,000,000.00"
Plot  Area,Basaveshwara Nagar,700,4,4,2,"₹ 12,500,000.00"
Super built-up  Area,Akshaya Nagar,1300,2,2,2,"₹ 6,600,000.00"
Super built-up  Area,HRBR Layout,1301,2,2,1,"₹ 12,000,000.00"
Built-up  Area,Gnana Bharathi,3200,8,9,1,"₹ 13,000,000.00"
Plot  Area,Pillahalli,1900,2,3,0,"₹ 9,200,000.00"
Super built-up  Area,Kanakpura Road,1299,2,2,1,"₹ 10,500,000.00"
Super built-up  Area,Anugrah Layout,1250,3,3,3,"₹ 4,000,000.00"
Plot  Area,Whitefield,1600,4,4,2,"₹ 30,000,000.00"
Super built-up  Area,Kalkere,925,2,2,1,"₹ 5,500,000.00"
Plot  Area,Meenakunte,3900,3,3,3,"₹ 25,000,000.00"
Super built-up  Area,Uttarahalli,1107,2,2,1,"₹ 4,500,000.00"
Plot  Area,Ramesh Nagar,1400,2,2,2,"₹ 16,000,000.00"
Super built-up  Area,Electronics City Phase 1,1300,2,2,1,"₹ 6,700,000.00"
Built-up  Area,Yeshwanthpur,570,2,2,1,"₹ 6,200,000.00"
Super built-up  Area,Hiremath Layout,1715,3,3,2,"₹ 9,500,000.00"
Built-up  Area,Uttarahalli,1200,2,2,1,"₹ 5,500,000.00"
Plot  Area,9th Block Jayanagar,1200,5,6,1,"₹ 28,000,000.00"
Super built-up  Area,Ashok Nagar,703,2,2,1,"₹ 6,000,000.00"
Super built-up  Area,Talaghattapura,921,2,2,2,"₹ 2,947,000.00"
Super built-up  Area,Marathahalli,1144,2,2,2,"₹ 6,500,000.00"
Super built-up  Area,Kanakpura Road,525,1,1,1,"₹ 2,601,000.00"
Super built-up  Area,Suddaguntepalya,1400,2,3,2,"₹ 5,600,000.00"
Super built-up  Area,Balagere,661,1,1,1,"₹ 3,300,000.00"
Plot  Area,Upkar Layout,1200,6,6,2,"₹ 16,000,000.00"
Built-up  Area,Kengeri Satellite Town,1200,5,5,2,"₹ 7,000,000.00"
Super built-up  Area,Yelahanka,1705,3,3,1,"₹ 9,100,000.00"
Plot  Area,Anjana Nagar,1035,5,5,1,"₹ 17,000,000.00"
Super built-up  Area,Kadugodi,1430,2,3,0,"₹ 5,500,000.00"
Super built-up  Area,Marathahalli,1240,2,2,2,"₹ 5,500,000.00"
Super built-up  Area,Garudachar Palya,1325,2,3,2,"₹ 6,080,000.00"
Super built-up  Area,Thanisandra,1230,2,2,2,"₹ 4,400,000.00"
